datehour_only,avgDifficulty,avgNodes,avgMempoolTxs,avgPriceUSD,avgTx24h,avgVolume24h,avgTxFee24h,avgInflatUSD24h,avgNextAvgPrice
2019-09-28 04,12759819404409.0000,9174.0833,2200.6333,8192.4850,303560.5000,91564769305303.4800,11248.4000,13215562.2292,8182.9415
2019-09-28 05,12759819404409.0000,9181.4068,1874.5593,8182.9415,301181.9322,90468740343926.2300,11252.8814,13177565.7648,8168.2630
2019-09-28 06,12759819404409.0000,9188.9167,1938.9833,8168.2630,304349.9500,90253780370290.5600,11124.9667,13431685.4188,8195.3937
2019-09-28 07,12759819404409.0000,9172.4915,2245.5254,8195.3937,306570.8983,89565871971798.6200,10925.1017,13836738.8051,8208.0692
2019-09-28 08,12759819404409.0000,9189.1833,1931.0000,8208.0692,313685.7500,89222967365222.8000,10674.7833,14338474.6542,8201.8225
2019-09-28 09,12759819404409.0000,9192.9167,2741.1000,8201.8225,315704.0833,87990880505651.0600,10463.0500,14587261.5479,8194.8146
2019-09-28 10,12759819404409.0000,9199.9831,2696.4576,8194.8146,308404.8644,85991243922613.0800,10480.2203,14302956.8347,8171.0088
2019-09-28 11,12759819404409.0000,9201.3333,4251.6167,8171.0088,307302.6667,85889528176551.8600,10507.8833,14083050.1833,8113.2167
2019-09-28 12,12759819404409.0000,9228.6667,3766.0167,8113.2167,313764.8833,86337557876262.0000,10343.0500,14385665.2229,8097.7710
2019-09-28 13,12759819404409.0000,9222.7797,5628.8814,8097.7710,318284.0678,85456140891529.5600,10001.6780,14510815.2479,8108.4310
2019-09-28 14,12759819404409.0000,9225.7500,6559.4500,8108.4310,315936.5667,83039944309450.9000,9798.0333,14476909.7667,8054.6903
2019-09-28 15,12759819404409.0000,9208.0339,3193.7627,8054.6903,320999.8814,84646342560069.8900,9351.8305,14837928.4322,8115.3675
2019-09-28 16,12759819404409.0000,9215.5833,4020.7167,8115.3675,323476.2000,84060057189791.0500,9080.6333,15371845.2479,8111.9542
2019-09-28 17,12759819404409.0000,9238.5000,2290.3500,8111.9542,325520.6833,81147982770023.7200,8708.2333,15659595.7396,8162.7144
2019-09-28 18,12759819404409.0000,9244.2881,2391.6610,8162.7144,326943.2542,78540822258760.6000,8396.2712,16087014.0021,8128.3068
2019-09-28 19,12759819404409.0000,9230.0000,2756.1167,8128.3068,330226.6667,76649539009215.2500,8139.7333,16361524.5500,8143.9875
2019-09-28 20,12759819404409.0000,9261.0833,5063.5167,8143.9875,324072.8500,73877021575367.0000,7932.3167,16333767.6250,8165.6259
2019-09-28 21,12759819404409.0000,9235.4068,4089.6441,8165.6259,318464.3729,71946066574207.8300,7782.6780,16147893.6123,8132.7483
2019-09-28 22,12759819404409.0000,9244.7500,1888.2167,8132.7483,318042.5333,69969774228216.8800,7596.2000,16345337.1646,8177.3567
2019-09-28 23,12759819404409.0000,9213.0833,3349.3167,8177.3567,317570.9167,69213926996569.0160,7440.4500,16478833.3625,8210.3554
2019-09-29 00,12759819404409.0000,9197.8305,2886.1356,8210.3554,310463.1186,66372703653736.2700,7360.0000,16133812.3814,8185.6858
2019-09-29 01,12759819404409.0000,9169.7500,2410.6333,8185.6858,310769.3333,66335101512656.9500,7285.7000,16171843.9792,8176.4846
2019-09-29 02,12759819404409.0000,9172.5370,3224.6296,8176.4846,307931.2407,66193551160447.1500,7241.6111,16144796.9838,8162.8235
2019-09-29 03,12759819404409.0000,9177.1667,4947.6500,8162.8235,303768.7833,65879871759307.6800,7244.0500,15718497.2063,8137.1133
2019-09-29 04,12759819404409.0000,9221.3333,2047.8500,8137.1133,305922.1167,65632084326349.5500,7203.6667,15833485.9854,8137.1031
2019-09-29 05,12759819404409.0000,9247.5932,2809.7119,8137.1031,304065.4407,65450479144697.9300,7164.7288,15503521.1229,8121.2212
2019-09-29 06,12759819404409.0000,9236.0000,3722.8000,8121.2212,301167.4000,64878294390463.4500,7170.9667,15291678.1208,8097.0350
2019-09-29 07,12759819404409.0000,9255.5833,3413.9000,8097.0350,296621.4833,65069093345391.4000,7262.8833,14797376.6438,8113.8490
2019-09-29 08,12759819404409.0000,9243.2373,3368.2034,8113.8490,293222.8644,64626894878676.5600,7328.0847,14606610.7500,8107.3893
2019-09-29 09,12759819404409.0000,9234.2500,3009.4500,8107.3893,291553.0167,63974054799513.1640,7391.6833,14547601.7979,8102.6650
2019-09-29 10,12759819404409.0000,9246.9167,4438.3167,8102.6650,285757.8667,63352074962071.2660,7471.2000,14046343.8688,8081.7292
2019-09-29 11,12759819404409.0000,9224.4746,2428.7797,8081.7292,289318.8644,62885266453563.8400,7384.6780,14300444.7924,8055.3483
2019-09-29 12,12759819404409.0000,9246.0833,2801.2000,8055.3483,288987.0000,62757522543763.3700,7344.4167,14241282.8063,8012.5483
2019-09-29 13,12759819404409.0000,9270.0339,7853.0169,8012.5483,284238.8644,62128273989790.1000,7419.0339,13950659.3708,8013.5430
2019-09-29 14,12759819404409.0000,9258.0833,6208.1500,8013.5430,286304.7000,62416208216865.6500,7372.1500,14158926.8938,7972.0913
2019-09-29 15,12759819404409.0000,9244.5833,2773.2833,7972.0913,285640.1667,58528894200518.8800,7350.6500,13740448.2979,7982.2188
